,시도시군구,불투수면 비율(%),불투수면 면적(㎢),행정구역면적(㎢),농업면적,시도구분,연평균강수량,해발고도,연평균기온,농가인구비율,cluster
72,동구,0.4432419432419432,0.06995433789954338,0.018563210790796085,0.0,울산광역시,0.30992662046473707,0.0830258070204164,0.6430868167202571,0.15007866121567554,0
73,북구,0.1857864357864358,0.1464840182648402,0.08546570572159042,0.0,울산광역시,0.30992662046473707,0.0830258070204164,0.6430868167202571,0.15007866121567554,2
74,울주군,0.09824434824434823,0.4246575342465754,0.4159558758705809,0.0,울산광역시,0.30992662046473707,0.0830258070204164,0.6430868167202571,0.15007866121567554,2
75,세종특별자치시,0.1343193843193843,0.3398477929984779,0.2546724852331835,0.0,세종특별자치시,0.40603342845495316,0.1132032696449488,0.5884244372990352,0.2243362052977294,2
76,수원시 장안구,0.38335738335738334,0.05205479452054794,0.016706338711099358,0.0,경기도,0.2684467998369344,0.042454374850435156,0.5584137191854234,0.11831750889072265,0
77,수원시 권선구,0.484968734968735,0.10423135464231355,0.0243156572335361,0.0,경기도,0.2684467998369344,0.042454374850435156,0.5584137191854234,0.11831750889072265,0
78,수원시 팔달구,0.8407888407888409,0.040365296803652966,0.005427356078638808,0.0,경기도,0.2684467998369344,0.042454374850435156,0.5584137191854234,0.11831750889072265,0
79,수원시 영통구,0.6121933621933622,0.07269406392694064,0.013598695230538657,4.405960856753481e-09,경기도,0.2684467998369344,0.042454374850435156,0.5584137191854234,0.11831750889072265,0
80,성남시 수정구,0.28391053391053395,0.05339421613394216,0.023279776073349204,0.0,경기도,0.27209029759478187,0.09180384649294054,0.5493033226152196,0.11831750889072265,0
81,성남시 중원구,0.38371813371813374,0.0380517503805175,0.012887904434452967,0.0,경기도,0.27209029759478187,0.09180384649294054,0.5493033226152196,0.11831750889072265,0
82,성남시 분당구,0.3422318422318422,0.11135464231354641,0.03680684122366217,3.7670965325242266e-06,경기도,0.27209029759478187,0.09180384649294054,0.5493033226152196,0.11831750889072265,0
83,의정부시,0.2860750360750361,0.10983257229832571,0.04341884862911047,8.825139596077224e-06,경기도,0.265491235222177,0.0899945841782435,0.9163987138263664,0.11831750889072265,0
84,안양시 만안구,0.3005050505050505,0.04316590563165906,0.018469540685885567,0.0,경기도,0.27209029759478187,0.09180384649294054,0.5493033226152196,0.11831750889072265,0
85,안양시 동안구,0.552910052910053,0.047914764079147645,0.010446971700608305,0.0,경기도,0.27209029759478187,0.09180384649294054,0.5493033226152196,0.11831750889072265,0
86,부천시,0.6711159211159212,0.1711415525114155,0.027864101207793354,0.0,경기도,0.27209029759478187,0.09180384649294054,0.5493033226152196,0.11831750889072265,0
87,광명시,0.417027417027417,0.06916286149162862,0.019577051926298154,0.0,경기도,0.27209029759478187,0.09180384649294054,0.5493033226152196,0.11831750889072265,0
88,평택시,0.25396825396825395,0.6135768645357685,0.251465661641541,0.0,경기도,0.27209029759478187,0.09180384649294054,0.5493033226152196,0.11831750889072265,2
89,동두천시,0.12542087542087543,0.053455098934550985,0.051187957330512214,0.04537390375379714,경기도,0.3163473298002446,0.14326737786062443,0.43837084673097515,0.11831750889072265,2
90,안산시 상록구,0.37578162578162577,0.10051750380517505,0.030514414176143877,0.0,경기도,0.27209029759478187,0.09180384649294054,0.5493033226152196,0.11831750889072265,0
91,안산시 단원구,0.35834535834535836,0.201765601217656,0.06140901877810104,0.0,경기도,0.27209029759478187,0.09180384649294054,0.5493033226152196,0.11831750889072265,0
92,고양시 덕양구,0.2605820105820106,0.21637747336377472,0.08939985012783215,0.0,경기도,0.27209029759478187,0.09180384649294054,0.5493033226152196,0.11831750889072265,2
93,고양시 일산동구,0.49506974506974505,0.13990867579908675,0.03138499515119457,0.014260432777414405,경기도,0.27209029759478187,0.09180384649294054,0.5493033226152196,0.11831750889072265,0
94,고양시 일산서구,0.4820827320827321,0.08882800608828005,0.02110332363572247,0.021769952461665038,경기도,0.27209029759478187,0.09180384649294054,0.5493033226152196,0.11831750889072265,0
95,과천시,0.21753246753246755,0.027031963470319637,0.01808935026007229,0.0,경기도,0.27209029759478187,0.09180384649294054,0.5493033226152196,0.11831750889072265,0
96,구리시,0.3815536315536316,0.051445966514459665,0.01662919862470246,0.0,경기도,0.27209029759478187,0.09180384649294054,0.5493033226152196,0.11831750889072265,0
97,남양주시,0.1614959114959115,0.3987214611872146,0.251625451820506,0.1409171590578819,경기도,0.27209029759478187,0.09180384649294054,0.5493033226152196,0.11831750889072265,2
